"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H5","ARE","2101","United Arab Emirates","WLD"," World",2021,"Import",5,153267.788
"H5","ARE","2101","United Arab Emirates","WLD"," World",2022,"Export",6,96416.432
"H5","ARE","2101","United Arab Emirates","WLD"," World",2022,"Import",5,199485.939
"H5","ARE","2101","United Arab Emirates","WLD"," World",2023,"Export",6,106761.372
"H5","ARE","2101","United Arab Emirates","WLD"," World",2023,"Import",5,222454.088
"H5","ARE","2102","United Arab Emirates","WLD"," World",2018,"Export",6,734.336
"H5","ARE","2102","United Arab Emirates","WLD"," World",2018,"Import",5,16390.783
"H5","ARE","2102","United Arab Emirates","WLD"," World",2019,"Export",6,889.703
"H5","ARE","2102","United Arab Emirates","WLD"," World",2019,"Import",5,14855.913
"H5","ARE","2102","United Arab Emirates","WLD"," World",2020,"Export",6,1324.859
"H5","ARE","2102","United Arab Emirates","WLD"," World",2020,"Import",5,15987.445
"H5","ARE","2102","United Arab Emirates","WLD"," World",2021,"Export",6,1016.711
"H5","ARE","2102","United Arab Emirates","WLD"," World",2021,"Import",5,18474.138
"H5","ARE","2102","United Arab Emirates","WLD"," World",2022,"Export",6,1276.208
"H5","ARE","2102","United Arab Emirates","WLD"," World",2022,"Import",5,19514.136
"H5","ARE","2102","United Arab Emirates","WLD"," World",2023,"Export",6,1250.678
"H5","ARE","2102","United Arab Emirates","WLD"," World",2023,"Import",5,21653.278
"H5","ARE","2103","United Arab Emirates","WLD"," World",2018,"Export",6,56730.919
"H5","ARE","2103","United Arab Emirates","WLD"," World",2018,"Import",5,195178.165
"H5","ARE","2103","United Arab Emirates","WLD"," World",2019,"Export",6,69857.233
"H5","ARE","2103","United Arab Emirates","WLD"," World",2019,"Import",5,171646.083
"H5","ARE","2103","United Arab Emirates","WLD"," World",2020,"Export",6,84178.882
"H5","ARE","2103","United Arab Emirates","WLD"," World",2020,"Import",5,168812.7
"H5","ARE","2103","United Arab Emirates","WLD"," World",2021,"Export",6,92868.311
"H5","ARE","2103","United Arab Emirates","WLD"," World",2021,"Import",5,192853.65
"H5","ARE","2103","United Arab Emirates","WLD"," World",2022,"Export",6,98740.795
"H5","ARE","2103","United Arab Emirates","WLD"," World",2022,"Import",5,216710.43
"H5","ARE","2103","United Arab Emirates","WLD"," World",2023,"Export",6,128512.574
"H5","ARE","2103","United Arab Emirates","WLD"," World",2023,"Import",5,225066.894
"H5","ARE","2104","United Arab Emirates","WLD"," World",2018,"Export",6,46012.315
"H5","ARE","2104","United Arab Emirates","WLD"," World",2018,"Import",5,32912.482
"H5","ARE","2104","United Arab Emirates","WLD"," World",2019,"Export",6,80011.42
"H5","ARE","2104","United Arab Emirates","WLD"," World",2019,"Import",5,29467.116
"H5","ARE","2104","United Arab Emirates","WLD"," World",2020,"Export",6,79366.337
"H5","ARE","2104","United Arab Emirates","WLD"," World",2020,"Import",5,27670.418
"H5","ARE","2104","United Arab Emirates","WLD"," World",2021,"Export",6,86761.381
"H5","ARE","2104","United Arab Emirates","WLD"," World",2021,"Import",5,27902.085
"H5","ARE","2104","United Arab Emirates","WLD"," World",2022,"Export",6,84218.896
"H5","ARE","2104","United Arab Emirates","WLD"," World",2022,"Import",5,28612.058
"H5","ARE","2104","United Arab Emirates","WLD"," World",2023,"Export",6,128340.153
"H5","ARE","2104","United Arab Emirates","WLD"," World",2023,"Import",5,32578.439
"H5","ARE","2105","United Arab Emirates","WLD"," World",2018,"Export",6,70862.907
"H5","ARE","2105","United Arab Emirates","WLD"," World",2018,"Import",5,40103.06
"H5","ARE","2105","United Arab Emirates","WLD"," World",2019,"Export",6,67025.71
"H5","ARE","2105","United Arab Emirates","WLD"," World",2019,"Import",5,40553.571
"H5","ARE","2105","United Arab Emirates","WLD"," World",2020,"Export",6,64163.149
"H5","ARE","2105","United Arab Emirates","WLD"," World",2020,"Import",5,45413.367
"H5","ARE","2105","United Arab Emirates","WLD"," World",2021,"Export",6,68694.806
"H5","ARE","2105","United Arab Emirates","WLD"," World",2021,"Import",5,46719.625
"H5","ARE","2105","United Arab Emirates","WLD"," World",2022,"Export",6,68158.061
"H5","ARE","2105","United Arab Emirates","WLD"," World",2022,"Import",5,51532.085
"H5","ARE","2105","United Arab Emirates","WLD"," World",2023,"Export",6,73934.386
"H5","ARE","2105","United Arab Emirates","WLD"," World",2023,"Import",5,56102.61
"H5","ARE","2106","United Arab Emirates","WLD"," World",2018,"Export",6,123053.968
"H5","ARE","2106","United Arab Emirates","WLD"," World",2018,"Import",5,515812.05
"H5","ARE","2106","United Arab Emirates","WLD"," World",2019,"Export",6,93075.531
"H5","ARE","2106","United Arab Emirates","WLD"," World",2019,"Import",5,501767.007
"H5","ARE","2106","United Arab Emirates","WLD"," World",2020,"Export",6,135092.197
"H5","ARE","2106","United Arab Emirates","WLD"," World",2020,"Import",5,572686.273
"H5","ARE","2106","United Arab Emirates","WLD"," World",2021,"Export",6,104130.987
"H5","ARE","2106","United Arab Emirates","WLD"," World",2021,"Import",5,640418.687
"H5","ARE","2106","United Arab Emirates","WLD"," World",2022,"Export",6,91464.653
"H5","ARE","2106","United Arab Emirates","WLD"," World",2022,"Import",5,802715.753
"H5","ARE","2106","United Arab Emirates","WLD"," World",2023,"Export",6,119512.672
"H5","ARE","2106","United Arab Emirates","WLD"," World",2023,"Import",5,875756.642
"H5","ARE","2201","United Arab Emirates","WLD"," World",2018,"Export",6,36282.459
"H5","ARE","2201","United Arab Emirates","WLD"," World",2018,"Import",5,69361.593
"H5","ARE","2201","United Arab Emirates","WLD"," World",2019,"Export",6,27461.27
"H5","ARE","2201","United Arab Emirates","WLD"," World",2019,"Import",5,68169.918
"H5","ARE","2201","United Arab Emirates","WLD"," World",2020,"Export",6,21607.609
"H5","ARE","2201","United Arab Emirates","WLD"," World",2020,"Import",5,49688.642
"H5","ARE","2201","United Arab Emirates","WLD"," World",2021,"Export",6,18745.038
"H5","ARE","2201","United Arab Emirates","WLD"," World",2021,"Import",5,62622.589
"H5","ARE","2201","United Arab Emirates","WLD"," World",2022,"Export",6,17640.465
"H5","ARE","2201","United Arab Emirates","WLD"," World",2022,"Import",5,83716.086
"H5","ARE","2201","United Arab Emirates","WLD"," World",2023,"Export",6,22828.839
"H5","ARE","2201","United Arab Emirates","WLD"," World",2023,"Import",5,94212.773
"H5","ARE","2202","United Arab Emirates","WLD"," World",2018,"Export",6,121834.34
"H5","ARE","2202","United Arab Emirates","WLD"," World",2018,"Import",5,102012.884
"H5","ARE","2202","United Arab Emirates","WLD"," World",2019,"Export",6,144749.628
"H5","ARE","2202","United Arab Emirates","WLD"," World",2019,"Import",5,117856.11
"H5","ARE","2202","United Arab Emirates","WLD"," World",2020,"Export",6,129046.195
"H5","ARE","2202","United Arab Emirates","WLD"," World",2020,"Import",5,111699.014
"H5","ARE","2202","United Arab Emirates","WLD"," World",2021,"Export",6,94333.001
"H5","ARE","2202","United Arab Emirates","WLD"," World",2021,"Import",5,125237.515
"H5","ARE","2202","United Arab Emirates","WLD"," World",2022,"Export",6,110597.961
"H5","ARE","2202","United Arab Emirates","WLD"," World",2022,"Import",5,186531.003
"H5","ARE","2202","United Arab Emirates","WLD"," World",2023,"Export",6,106266.975
"H5","ARE","2202","United Arab Emirates","WLD"," World",2023,"Import",5,178084.013
"H5","ARE","2203","United Arab Emirates","WLD"," World",2018,"Export",6,50.129
"H5","ARE","2203","United Arab Emirates","WLD"," World",2018,"Import",5,100535.353
"H5","ARE","2203","United Arab Emirates","WLD"," World",2019,"Export",6,0
"H5","ARE","2203","United Arab Emirates","WLD"," World",2019,"Import",5,94681.457
"H5","ARE","2203","United Arab Emirates","WLD"," World",2020,"Export",6,87.625
"H5","ARE","2203","United Arab Emirates","WLD"," World",2020,"Import",5,75244.615
"H5","ARE","2203","United Arab Emirates","WLD"," World",2021,"Export",6,0
"H5","ARE","2203","United Arab Emirates","WLD"," World",2021,"Import",5,126272.691
"H5","ARE","2203","United Arab Emirates","WLD"," World",2022,"Export",6,7.94
"H5","ARE","2203","United Arab Emirates","WLD"," World",2022,"Import",5,172304.33
"H5","ARE","2203","United Arab Emirates","WLD"," World",2023,"Export",6,0
"H5","ARE","2203","United Arab Emirates","WLD"," World",2023,"Import",5,182487.739
"H5","ARE","2204","United Arab Emirates","WLD"," World",2018,"Export",6,0.934
"H5","ARE","2204","United Arab Emirates","WLD"," World",2018,"Import",5,311204.984
"H5","ARE","2204","United Arab Emirates","WLD"," World",2019,"Export",6,20.54
"H5","ARE","2204","United Arab Emirates","WLD"," World",2019,"Import",5,296162.211
"H5","ARE","2204","United Arab Emirates","WLD"," World",2020,"Export",6,88.339
"H5","ARE","2204","United Arab Emirates","WLD"," World",2020,"Import",5,143634.489
"H5","ARE","2204","United Arab Emirates","WLD"," World",2021,"Export",6,4.332
"H5","ARE","2204","United Arab Emirates","WLD"," World",2021,"Import",5,201684.91
"H5","ARE","2204","United Arab Emirates","WLD"," World",2022,"Export",6,2.761
"H5","ARE","2204","United Arab Emirates","WLD"," World",2022,"Import",5,361902.736
"H5","ARE","2204","United Arab Emirates","WLD"," World",2023,"Export",6,53.191
"H5","ARE","2204","United Arab Emirates","WLD"," World",2023,"Import",5,388912.234
"H5","ARE","2205","United Arab Emirates","WLD"," World",2018,"Export",6,0
"H5","ARE","2205","United Arab Emirates","WLD"," World",2018,"Import",5,1314.494
"H5","ARE","2205","United Arab Emirates","WLD"," World",2019,"Export",6,1.225
"H5","ARE","2205","United Arab Emirates","WLD"," World",2019,"Import",5,710.478
"H5","ARE","2205","United Arab Emirates","WLD"," World",2020,"Export",6,0
"H5","ARE","2205","United Arab Emirates","WLD"," World",2020,"Import",5,948.687
"H5","ARE","2205","United Arab Emirates","WLD"," World",2021,"Export",6,0
"H5","ARE","2205","United Arab Emirates","WLD"," World",2021,"Import",5,1055.568
"H5","ARE","2205","United Arab Emirates","WLD"," World",2022,"Export",6,0
"H5","ARE","2205","United Arab Emirates","WLD"," World",2022,"Import",5,1939.662
"H5","ARE","2205","United Arab Emirates","WLD"," World",2023,"Export",6,0
"H5","ARE","2205","United Arab Emirates","WLD"," World",2023,"Import",5,861.858
"H5","ARE","2206","United Arab Emirates","WLD"," World",2018,"Export",6,0
"H5","ARE","2206","United Arab Emirates","WLD"," World",2018,"Import",5,2083.356
"H5","ARE","2206","United Arab Emirates","WLD"," World",2019,"Export",6,0
"H5","ARE","2206","United Arab Emirates","WLD"," World",2019,"Import",5,1981.172
"H5","ARE","2206","United Arab Emirates","WLD"," World",2020,"Export",6,68.887
"H5","ARE","2206","United Arab Emirates","WLD"," World",2020,"Import",5,1898.993
"H5","ARE","2206","United Arab Emirates","WLD"," World",2021,"Export",6,857.423
"H5","ARE","2206","United Arab Emirates","WLD"," World",2021,"Import",5,3715.116
"H5","ARE","2206","United Arab Emirates","WLD"," World",2022,"Export",6,0
"H5","ARE","2206","United Arab Emirates","WLD"," World",2022,"Import",5,3781.657
"H5","ARE","2206","United Arab Emirates","WLD"," World",2023,"Export",6,0
"H5","ARE","2206","United Arab Emirates","WLD"," World",2023,"Import",5,2521.278
"H5","ARE","2207","United Arab Emirates","WLD"," World",2018,"Export",6,196.85
"H5","ARE","2207","United Arab Emirates","WLD"," World",2018,"Import",5,68969.38
"H5","ARE","2207","United Arab Emirates","WLD"," World",2019,"Export",6,159.456
"H5","ARE","2207","United Arab Emirates","WLD"," World",2019,"Import",5,159096.925
"H5","ARE","2207","United Arab Emirates","WLD"," World",2020,"Export",6,641.535
"H5","ARE","2207","United Arab Emirates","WLD"," World",2020,"Import",5,87800.439
"H5","ARE","2207","United Arab Emirates","WLD"," World",2021,"Export",6,499.168
"H5","ARE","2207","United Arab Emirates","WLD"," World",2021,"Import",5,72762.831
"H5","ARE","2207","United Arab Emirates","WLD"," World",2022,"Export",6,775.758
"H5","ARE","2207","United Arab Emirates","WLD"," World",2022,"Import",5,127626.917
"H5","ARE","2207","United Arab Emirates","WLD"," World",2023,"Export",6,319.019
"H5","ARE","2207","United Arab Emirates","WLD"," World",2023,"Import",5,120711.318
"H5","ARE","2208","United Arab Emirates","WLD"," World",2018,"Export",6,4775.3
"H5","ARE","2208","United Arab Emirates","WLD"," World",2018,"Import",5,417942.501
"H5","ARE","2208","United Arab Emirates","WLD"," World",2019,"Export",6,4.448
"H5","ARE","2208","United Arab Emirates","WLD"," World",2019,"Import",5,397851.841
"H5","ARE","2208","United Arab Emirates","WLD"," World",2020,"Export",6,769.989
"H5","ARE","2208","United Arab Emirates","WLD"," World",2020,"Import",5,284993.02
"H5","ARE","2208","United Arab Emirates","WLD"," World",2021,"Export",6,63.317
"H5","ARE","2208","United Arab Emirates","WLD"," World",2021,"Import",5,437882.825
"H5","ARE","2208","United Arab Emirates","WLD"," World",2022,"Export",6,11.155
"H5","ARE","2208","United Arab Emirates","WLD"," World",2022,"Import",5,698741.813
"H5","ARE","2208","United Arab Emirates","WLD"," World",2023,"Export",6,0
"H5","ARE","2208","United Arab Emirates","WLD"," World",2023,"Import",5,735740.572
"H5","ARE","2209","United Arab Emirates","WLD"," World",2018,"Export",6,1710.637
"H5","ARE","2209","United Arab Emirates","WLD"," World",2018,"Import",5,7038.094
"H5","ARE","2209","United Arab Emirates","WLD"," World",2019,"Export",6,2223.602
"H5","ARE","2209","United Arab Emirates","WLD"," World",2019,"Import",5,7837.932
"H5","ARE","2209","United Arab Emirates","WLD"," World",2020,"Export",6,3209.922
"H5","ARE","2209","United Arab Emirates","WLD"," World",2020,"Import",5,8714.146
"H5","ARE","2209","United Arab Emirates","WLD"," World",2021,"Export",6,2817.413
"H5","ARE","2209","United Arab Emirates","WLD"," World",2021,"Import",5,7597.197
"H5","ARE","2209","United Arab Emirates","WLD"," World",2022,"Export",6,3785.579
"H5","ARE","2209","United Arab Emirates","WLD"," World",2022,"Import",5,9619.488
"H5","ARE","2209","United Arab Emirates","WLD"," World",2023,"Export",6,3924.908
"H5","ARE","2209","United Arab Emirates","WLD"," World",2023,"Import",5,7968.227
"H5","ARE","2301","United Arab Emirates","WLD"," World",2018,"Export",6,2817.114
"H5","ARE","2301","United Arab Emirates","WLD"," World",2018,"Import",5,1232.158
"H5","ARE","2301","United Arab Emirates","WLD"," World",2019,"Export",6,3242.622
"H5","ARE","2301","United Arab Emirates","WLD"," World",2019,"Import",5,1330.303
"H5","ARE","2301","United Arab Emirates","WLD"," World",2020,"Export",6,1902.012
"H5","ARE","2301","United Arab Emirates","WLD"," World",2020,"Import",5,317.348
"H5","ARE","2301","United Arab Emirates","WLD"," World",2021,"Export",6,2712.318
"H5","ARE","2301","United Arab Emirates","WLD"," World",2021,"Import",5,362.832
"H5","ARE","2301","United Arab Emirates","WLD"," World",2022,"Export",6,4037.995
"H5","ARE","2301","United Arab Emirates","WLD"," World",2022,"Import",5,401.401
"H5","ARE","2301","United Arab Emirates","WLD"," World",2023,"Export",6,4698.208
"H5","ARE","2301","United Arab Emirates","WLD"," World",2023,"Import",5,424.049
"H5","ARE","2302","United Arab Emirates","WLD"," World",2018,"Export",6,28236.563
"H5","ARE","2302","United Arab Emirates","WLD"," World",2018,"Import",5,9231.89
"H5","ARE","2302","United Arab Emirates","WLD"," World",2019,"Export",6,34851.505
"H5","ARE","2302","United Arab Emirates","WLD"," World",2019,"Import",5,19334.253
"H5","ARE","2302","United Arab Emirates","WLD"," World",2020,"Export",6,39578.53
"H5","ARE","2302","United Arab Emirates","WLD"," World",2020,"Import",5,9268.586
"H5","ARE","2302","United Arab Emirates","WLD"," World",2021,"Export",6,35680.453
"H5","ARE","2302","United Arab Emirates","WLD"," World",2021,"Import",5,4577.968
"H5","ARE","2302","United Arab Emirates","WLD"," World",2022,"Export",6,39026.74
"H5","ARE","2302","United Arab Emirates","WLD"," World",2022,"Import",5,4135.296
"H5","ARE","2302","United Arab Emirates","WLD"," World",2023,"Export",6,23453.562
"H5","ARE","2302","United Arab Emirates","WLD"," World",2023,"Import",5,21939.947
"H5","ARE","2303","United Arab Emirates","WLD"," World",2018,"Export",6,3.615
"H5","ARE","2303","United Arab Emirates","WLD"," World",2018,"Import",5,2575.519
"H5","ARE","2303","United Arab Emirates","WLD"," World",2019,"Export",6,68.623
"H5","ARE","2303","United Arab Emirates","WLD"," World",2019,"Import",5,2470.994
"H5","ARE","2303","United Arab Emirates","WLD"," World",2020,"Export",6,10.784
"H5","ARE","2303","United Arab Emirates","WLD"," World",2020,"Import",5,3035.004
"H5","ARE","2303","United Arab Emirates","WLD"," World",2021,"Export",6,2.192
"H5","ARE","2303","United Arab Emirates","WLD"," World",2021,"Import",5,4504.288
"H5","ARE","2303","United Arab Emirates","WLD"," World",2022,"Export",6,11.785
"H5","ARE","2303","United Arab Emirates","WLD"," World",2022,"Import",5,4123.526
