"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H5","KOR","1105","Korea, Rep.","WLD"," World",2022,"Import",5,11963.565
"H5","KOR","1105","Korea, Rep.","WLD"," World",2023,"Export",6,48.104
"H5","KOR","1105","Korea, Rep.","WLD"," World",2023,"Import",5,12597.166
"H5","KOR","1105","Korea, Rep.","WLD"," World",2024,"Export",6,64.407
"H5","KOR","1105","Korea, Rep.","WLD"," World",2024,"Import",5,12175.451
"H5","KOR","1106","Korea, Rep.","WLD"," World",2017,"Export",6,807.574
"H5","KOR","1106","Korea, Rep.","WLD"," World",2017,"Import",5,44451.247
"H5","KOR","1106","Korea, Rep.","WLD"," World",2018,"Export",6,562.876
"H5","KOR","1106","Korea, Rep.","WLD"," World",2018,"Import",5,18441.755
"H5","KOR","1106","Korea, Rep.","WLD"," World",2019,"Export",6,196.178
"H5","KOR","1106","Korea, Rep.","WLD"," World",2019,"Import",5,13982.013
"H5","KOR","1106","Korea, Rep.","WLD"," World",2020,"Export",6,235.805
"H5","KOR","1106","Korea, Rep.","WLD"," World",2020,"Import",5,14133.301
"H5","KOR","1106","Korea, Rep.","WLD"," World",2021,"Export",6,220.828
"H5","KOR","1106","Korea, Rep.","WLD"," World",2021,"Import",5,10669.926
"H5","KOR","1106","Korea, Rep.","WLD"," World",2022,"Export",6,160.773
"H5","KOR","1106","Korea, Rep.","WLD"," World",2022,"Import",5,12270.17
"H5","KOR","1106","Korea, Rep.","WLD"," World",2023,"Export",6,96.529
"H5","KOR","1106","Korea, Rep.","WLD"," World",2023,"Import",5,8055.767
"H5","KOR","1106","Korea, Rep.","WLD"," World",2024,"Export",6,50.226
"H5","KOR","1106","Korea, Rep.","WLD"," World",2024,"Import",5,7530.024
"H5","KOR","1107","Korea, Rep.","WLD"," World",2017,"Export",6,72.989
"H5","KOR","1107","Korea, Rep.","WLD"," World",2017,"Import",5,96626.418
"H5","KOR","1107","Korea, Rep.","WLD"," World",2018,"Export",6,240.596
"H5","KOR","1107","Korea, Rep.","WLD"," World",2018,"Import",5,95461.865
"H5","KOR","1107","Korea, Rep.","WLD"," World",2019,"Export",6,541.967
"H5","KOR","1107","Korea, Rep.","WLD"," World",2019,"Import",5,91642.621
"H5","KOR","1107","Korea, Rep.","WLD"," World",2020,"Export",6,29.998
"H5","KOR","1107","Korea, Rep.","WLD"," World",2020,"Import",5,67305.191
"H5","KOR","1107","Korea, Rep.","WLD"," World",2021,"Export",6,84.752
"H5","KOR","1107","Korea, Rep.","WLD"," World",2021,"Import",5,66305.086
"H5","KOR","1107","Korea, Rep.","WLD"," World",2022,"Export",6,90.947
"H5","KOR","1107","Korea, Rep.","WLD"," World",2022,"Import",5,76430.119
"H5","KOR","1107","Korea, Rep.","WLD"," World",2023,"Export",6,32.7
"H5","KOR","1107","Korea, Rep.","WLD"," World",2023,"Import",5,110387.703
"H5","KOR","1107","Korea, Rep.","WLD"," World",2024,"Export",6,40.799
"H5","KOR","1107","Korea, Rep.","WLD"," World",2024,"Import",5,81699.742
"H5","KOR","1108","Korea, Rep.","WLD"," World",2017,"Export",6,17795.993
"H5","KOR","1108","Korea, Rep.","WLD"," World",2017,"Import",5,115797.807
"H5","KOR","1108","Korea, Rep.","WLD"," World",2018,"Export",6,14919.324
"H5","KOR","1108","Korea, Rep.","WLD"," World",2018,"Import",5,117447.99
"H5","KOR","1108","Korea, Rep.","WLD"," World",2019,"Export",6,17428.292
"H5","KOR","1108","Korea, Rep.","WLD"," World",2019,"Import",5,113260.86
"H5","KOR","1108","Korea, Rep.","WLD"," World",2020,"Export",6,17885.477
"H5","KOR","1108","Korea, Rep.","WLD"," World",2020,"Import",5,117684.788
"H5","KOR","1108","Korea, Rep.","WLD"," World",2021,"Export",6,20398.68
"H5","KOR","1108","Korea, Rep.","WLD"," World",2021,"Import",5,118307.289
