"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H5","GBR","1005","United Kingdom","WLD"," World",2018,"Export",6,41338.774
"H5","GBR","1005","United Kingdom","WLD"," World",2018,"Import",5,591531.345
"H5","GBR","1005","United Kingdom","WLD"," World",2019,"Export",6,35075.075
"H5","GBR","1005","United Kingdom","WLD"," World",2019,"Import",5,615139.924
"H5","GBR","1005","United Kingdom","WLD"," World",2020,"Export",6,30635.014
"H5","GBR","1005","United Kingdom","WLD"," World",2020,"Import",5,619649.605
"H5","GBR","1005","United Kingdom","WLD"," World",2021,"Export",6,35778.007
"H5","GBR","1005","United Kingdom","WLD"," World",2021,"Import",5,727462.383
"H5","GBR","1005","United Kingdom","WLD"," World",2022,"Export",6,52591.103
"H5","GBR","1005","United Kingdom","WLD"," World",2022,"Import",5,879089.464
"H5","GBR","1005","United Kingdom","WLD"," World",2023,"Export",6,53602.553
"H5","GBR","1005","United Kingdom","WLD"," World",2023,"Import",5,725506.041
"H5","GBR","1005","United Kingdom","WLD"," World",2024,"Export",6,41650.773
"H5","GBR","1005","United Kingdom","WLD"," World",2024,"Import",5,767723.45
"H5","GBR","1006","United Kingdom","WLD"," World",2017,"Export",6,65554.213
"H5","GBR","1006","United Kingdom","WLD"," World",2017,"Import",5,546916.218
"H5","GBR","1006","United Kingdom","WLD"," World",2018,"Export",6,70488.694
"H5","GBR","1006","United Kingdom","WLD"," World",2018,"Import",5,481394.894
"H5","GBR","1006","United Kingdom","WLD"," World",2019,"Export",6,73515.429
"H5","GBR","1006","United Kingdom","WLD"," World",2019,"Import",5,530655.722
"H5","GBR","1006","United Kingdom","WLD"," World",2020,"Export",6,81562.827
"H5","GBR","1006","United Kingdom","WLD"," World",2020,"Import",5,624514.074
"H5","GBR","1006","United Kingdom","WLD"," World",2021,"Export",6,42590.885
"H5","GBR","1006","United Kingdom","WLD"," World",2021,"Import",5,574715.192
"H5","GBR","1006","United Kingdom","WLD"," World",2022,"Export",6,18248.412
"H5","GBR","1006","United Kingdom","WLD"," World",2022,"Import",5,601074.961
"H5","GBR","1006","United Kingdom","WLD"," World",2023,"Export",6,24780.727
"H5","GBR","1006","United Kingdom","WLD"," World",2023,"Import",5,749601.483
"H5","GBR","1006","United Kingdom","WLD"," World",2024,"Export",6,22645.337
"H5","GBR","1006","United Kingdom","WLD"," World",2024,"Import",5,750520.663
"H5","GBR","1007","United Kingdom","WLD"," World",2017,"Export",6,1085.382
"H5","GBR","1007","United Kingdom","WLD"," World",2017,"Import",5,11510.818
"H5","GBR","1007","United Kingdom","WLD"," World",2018,"Export",6,1436.776
"H5","GBR","1007","United Kingdom","WLD"," World",2018,"Import",5,13337.977
"H5","GBR","1007","United Kingdom","WLD"," World",2019,"Export",6,706.147
"H5","GBR","1007","United Kingdom","WLD"," World",2019,"Import",5,11322.848
"H5","GBR","1007","United Kingdom","WLD"," World",2020,"Export",6,765.25
"H5","GBR","1007","United Kingdom","WLD"," World",2020,"Import",5,14203.186
"H5","GBR","1007","United Kingdom","WLD"," World",2021,"Export",6,78.802
"H5","GBR","1007","United Kingdom","WLD"," World",2021,"Import",5,16815.612
"H5","GBR","1007","United Kingdom","WLD"," World",2022,"Export",6,173.524
"H5","GBR","1007","United Kingdom","WLD"," World",2022,"Import",5,4794.677
"H5","GBR","1007","United Kingdom","WLD"," World",2023,"Export",6,97.803
"H5","GBR","1007","United Kingdom","WLD"," World",2023,"Import",5,5971.775
"H5","GBR","1007","United Kingdom","WLD"," World",2024,"Export",6,120.239
"H5","GBR","1007","United Kingdom","WLD"," World",2024,"Import",5,3898.357
"H5","GBR","1008","United Kingdom","WLD"," World",2017,"Export",6,7511.825
"H5","GBR","1008","United Kingdom","WLD"," World",2017,"Import",5,23145.619
"H5","GBR","1008","United Kingdom","WLD"," World",2018,"Export",6,8143.744
"H5","GBR","1008","United Kingdom","WLD"," World",2018,"Import",5,26658.976
"H5","GBR","1008","United Kingdom","WLD"," World",2019,"Export",6,10456.827
"H5","GBR","1008","United Kingdom","WLD"," World",2019,"Import",5,31022.537
"H5","GBR","1008","United Kingdom","WLD"," World",2020,"Export",6,4548.427
"H5","GBR","1008","United Kingdom","WLD"," World",2020,"Import",5,33232.697
"H5","GBR","1008","United Kingdom","WLD"," World",2021,"Export",6,6775.243
"H5","GBR","1008","United Kingdom","WLD"," World",2021,"Import",5,23148.03
"H5","GBR","1008","United Kingdom","WLD"," World",2022,"Export",6,5823
"H5","GBR","1008","United Kingdom","WLD"," World",2022,"Import",5,20496.859
"H5","GBR","1008","United Kingdom","WLD"," World",2023,"Export",6,2527.191
"H5","GBR","1008","United Kingdom","WLD"," World",2023,"Import",5,18481.106
"H5","GBR","1008","United Kingdom","WLD"," World",2024,"Export",6,2348.152
"H5","GBR","1008","United Kingdom","WLD"," World",2024,"Import",5,19172.615
"H5","GBR","1101","United Kingdom","WLD"," World",2017,"Export",6,120371.882
"H5","GBR","1101","United Kingdom","WLD"," World",2017,"Import",5,44556
"H5","GBR","1101","United Kingdom","WLD"," World",2018,"Export",6,131249.191
"H5","GBR","1101","United Kingdom","WLD"," World",2018,"Import",5,39665.192
"H5","GBR","1101","United Kingdom","WLD"," World",2019,"Export",6,130961.166
"H5","GBR","1101","United Kingdom","WLD"," World",2019,"Import",5,45272.812
