"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H5","IND","2507","India","WLD"," World",2018,"Export",6,22016.284
"H5","IND","2507","India","WLD"," World",2019,"Export",6,27381.597
"H5","IND","2507","India","WLD"," World",2020,"Export",6,20637.581
"H5","IND","2507","India","WLD"," World",2021,"Export",6,30150.202
"H5","IND","2507","India","WLD"," World",2022,"Export",6,41786.201
"H5","IND","2507","India","WLD"," World",2023,"Export",6,47518.507
"H5","IND","2507","India","WLD"," World",2024,"Export",6,55845.657
"H5","IND","2508","India","WLD"," World",2017,"Export",6,86819.078
"H5","IND","2508","India","WLD"," World",2018,"Export",6,102634.726
"H5","IND","2508","India","WLD"," World",2019,"Export",6,99570.462
"H5","IND","2508","India","WLD"," World",2020,"Export",6,86126.408
"H5","IND","2508","India","WLD"," World",2021,"Export",6,90852.457
"H5","IND","2508","India","WLD"," World",2022,"Export",6,128406.16
"H5","IND","2508","India","WLD"," World",2023,"Export",6,148601.649
"H5","IND","2508","India","WLD"," World",2024,"Export",6,144500.132
"H5","IND","2509","India","WLD"," World",2017,"Export",6,52.314
"H5","IND","2509","India","WLD"," World",2018,"Export",6,112.996
"H5","IND","2509","India","WLD"," World",2019,"Export",6,113.933
"H5","IND","2509","India","WLD"," World",2020,"Export",6,74.271
"H5","IND","2509","India","WLD"," World",2021,"Export",6,104.137
"H5","IND","2509","India","WLD"," World",2022,"Export",6,101.121
"H5","IND","2509","India","WLD"," World",2023,"Export",6,80.257
"H5","IND","2509","India","WLD"," World",2024,"Export",6,60.792
"H5","IND","2510","India","WLD"," World",2017,"Export",6,36.273
"H5","IND","2510","India","WLD"," World",2018,"Export",6,686.333
"H5","IND","2510","India","WLD"," World",2019,"Export",6,10.474
"H5","IND","2510","India","WLD"," World",2020,"Export",6,80.946
"H5","IND","2510","India","WLD"," World",2021,"Export",6,143.11
"H5","IND","2510","India","WLD"," World",2022,"Export",6,262.411
"H5","IND","2510","India","WLD"," World",2023,"Export",6,37.072
"H5","IND","2510","India","WLD"," World",2024,"Export",6,159.235
"H5","IND","2511","India","WLD"," World",2017,"Export",6,122606.156
