"","year","partner","tci"
"1",2017,"Australia",44.6681609182191
"2",2018,"Australia",43.4419489528339
"3",2019,"Australia",46.9019846721652
"4",2020,"Australia",44.1665206064293
"5",2021,"Australia",45.442110044879
"6",2022,"Australia",50.1179899617
"7",2023,"Australia",51.1707181717513
"8",2024,"Australia",51.777962978636
"9",2017,"Korea, Rep.",42.810309677854
"10",2018,"Korea, Rep.",36.6140232440356
"11",2019,"Korea, Rep.",45.4399391670715
"12",2020,"Korea, Rep.",44.100770495526
"13",2021,"Korea, Rep.",43.5785352674282
"14",2022,"Korea, Rep.",43.0588382747787
"15",2023,"Korea, Rep.",44.9288514209734
"16",2024,"Korea, Rep.",46.3290518643408
"17",2017,"New Zealand",40.9176904592658
"18",2018,"New Zealand",40.6082428459704
"19",2019,"New Zealand",44.4341462575175
"20",2020,"New Zealand",44.4993142648891
"21",2021,"New Zealand",42.5439167047263
"22",2022,"New Zealand",47.351587081039
"23",2023,"New Zealand",51.6864966163426
"24",2024,"New Zealand",52.4579510719199
"25",2017,"Oman",39.4379176147271
"26",2018,"Oman",41.9038874778465
"27",2019,"Oman",39.9531662058425
"28",2020,"Oman",46.712572664717
"29",2021,"Oman",47.8806788392738
"30",2022,"Oman",54.3019531131897
"31",2023,"Oman",54.9062451511334
"32",2018,"United Arab Emirates",47.0675448141563
"33",2019,"United Arab Emirates",51.9463210881446
"34",2020,"United Arab Emirates",49.0080669819225
"35",2021,"United Arab Emirates",45.4759233743187
"36",2022,"United Arab Emirates",40.4488123735875
"37",2023,"United Arab Emirates",41.5396965814417
"38",2017,"United Kingdom",42.546018538037
"39",2018,"United Kingdom",42.3557936372484
"40",2019,"United Kingdom",43.3250658432036
"41",2020,"United Kingdom",40.4626181119539
"42",2021,"United Kingdom",41.2238070697106
"43",2022,"United Kingdom",43.5649579615087
"44",2023,"United Kingdom",44.3718952225844
"45",2024,"United Kingdom",44.5236509162324
